date,engine,device,visits,conversions,revenue,cost,conversion_rate,EPV,CPV,profit_per_visit,roas
2026-03-01,Bing,desktop,120,37,245.9814,286.2846,0.3083,2.0498,2.3857,-0.3359,0.859
2026-03-01,Bing,mobile,198,51,458.1553,449.6218,0.2576,2.3139,2.2708,0.0431,1.019
2026-03-01,Bing,tablet,35,14,229.3799,68.51,0.4,6.5537,1.9574,4.5963,3.348
2026-03-01,Google,desktop,351,163,1677.3771,1027.0123,0.4644,4.7789,2.926,1.8529,1.633
2026-03-01,Google,mobile,554,229,2341.6624,1652.6181,0.4134,4.2268,2.9831,1.2437,1.417
2026-03-01,Google,tablet,85,41,376.8995,283.0549,0.4824,4.4341,3.3301,1.104,1.332
2026-03-01,Organic,desktop,146,60,643.9871,79.0348,0.411,4.4109,0.5413,3.8696,8.148
2026-03-01,Organic,mobile,267,113,3423.9374,173.6809,0.4232,12.8237,0.6505,12.1732,19.714
2026-03-01,Organic,tablet,30,12,53.2579,14.749,0.4,1.7753,0.4916,1.2837,3.611
2026-03-01,Social,desktop,63,20,371.5295,135.1477,0.3175,5.8973,2.1452,3.7521,2.749
2026-03-01,Social,mobile,110,23,254.5895,225.9146,0.2091,2.3144,2.0538,0.2606,1.127
2026-03-01,Social,tablet,10,5,18.6211,20.793,0.5,1.8621,2.0793,-0.2172,0.896
2026-03-02,Bing,desktop,105,33,756.4167,546.0306,0.3143,7.204,5.2003,2.0037,1.385
2026-03-02,Bing,mobile,236,86,2470.7525,1144.2355,0.3644,10.4693,4.8485,5.6208,2.159
2026-03-02,Bing,tablet,26,12,290.0586,125.02799999999999,0.4615,11.1561,4.8088,6.3473,2.32
2026-03-02,Google,desktop,334,149,3220.7841,2074.1918,0.4461,9.6431,6.2102,3.4329,1.553
2026-03-02,Google,mobile,558,254,7936.2916,3838.3595,0.4552,14.2227,6.8788,7.3439,2.068
2026-03-02,Google,tablet,55,22,784.4396,394.0184,0.4,14.2625,7.164,7.0985,1.991
2026-03-02,Organic,desktop,135,57,1423.5695,170.2773,0.4222,10.545,1.2613,9.2837,8.36
2026-03-02,Organic,mobile,205,102,1682.8192,187.8283,0.4976,8.2089,0.9162,7.2927,8.959
2026-03-02,Organic,tablet,41,15,242.89119999999997,33.1738,0.3659,5.9242,0.8091,5.1151,7.322
2026-03-02,Social,desktop,55,12,128.71020000000001,240.3097,0.2182,2.3402,4.3693,-2.0291,0.536
2026-03-02,Social,mobile,111,38,900.9468,480.4665,0.3423,8.1166,4.3285,3.7881,1.875
2026-03-02,Social,tablet,23,7,298.6197,89.4164,0.3043,12.9835,3.8877,9.0958,3.34
2026-03-03,Bing,desktop,128,50,1427.7978,615.6241,0.3906,11.1547,4.8096,6.3451,2.319
2026-03-03,Bing,mobile,205,60,1409.4695,1057.0792,0.2927,6.8755,5.1565,1.719,1.333
2026-03-03,Bing,tablet,26,7,90.4,145.7798,0.2692,3.4769,5.6069,-2.13,0.62
2026-03-03,Google,desktop,344,166,4403.5401,2295.0089,0.4826,12.801,6.6715,6.1295,1.919
2026-03-03,Google,mobile,555,246,5151.4232,3599.46,0.4432,9.2818,6.4855,2.7963,1.431
2026-03-03,Google,tablet,82,29,2255.5456999999997,499.427,0.3537,27.5067,6.0906,21.4161,4.516
2026-03-03,Organic,desktop,148,67,1265.3783,172.5542,0.4527,8.5499,1.1659,7.384,7.333
2026-03-03,Organic,mobile,242,91,2473.8381,263.1061,0.376,10.2225,1.0872,9.1353,9.402
2026-03-03,Organic,tablet,19,6,214.3158,24.9622,0.3158,11.2798,1.3138,9.966,8.586
2026-03-03,Social,desktop,74,22,790.9684,246.1905,0.2973,10.6888,3.3269,7.3619,3.213
2026-03-03,Social,mobile,120,32,470.5388,422.5431,0.2667,3.9212,3.5212,0.4,1.114
2026-03-03,Social,tablet,14,2,177.1578,85.2584,0.1429,12.6541,6.0899,6.5642,2.078
2026-03-04,Bing,desktop,116,39,866.2596,665.3506,0.3362,7.4678,5.7358,1.732,1.302
2026-03-04,Bing,mobile,210,64,813.7722,896.0434,0.3048,3.8751,4.2669,-0.3918,0.908
2026-03-04,Bing,tablet,22,10,267.3447,124.218,0.4545,12.152,5.6463,6.5057,2.152
2026-03-04,Google,desktop,351,162,4820.6519,2255.6965,0.4615,13.7341,6.4265,7.3076,2.137
2026-03-04,Google,mobile,603,269,6484.8468,3658.67,0.4461,10.7543,6.0674,4.6869,1.772
2026-03-04,Google,tablet,73,34,448.9492,453.6123,0.4658,6.15,6.2139,-0.0639,0.99
2026-03-04,Organic,desktop,158,61,1068.8212,170.1915,0.3861,6.7647,1.0772,5.6875,6.28
2026-03-04,Organic,mobile,268,114,2084.7519,264.5591,0.4254,7.7789,0.9872,6.7917,7.88
2026-03-04,Organic,tablet,41,19,470.058,44.2554,0.4634,11.4648,1.0794,10.3854,10.621
2026-03-04,Social,desktop,58,15,415.3393,289.5398,0.2586,7.161,4.9921,2.1689,1.434
2026-03-04,Social,mobile,118,24,718.3784,399.6427,0.2034,6.088,3.3868,2.7012,1.798
